model.25_atomistic,802.91
model.76_atomistic,838.41
model.8_atomistic,673.3
model.69_atomistic,838.35
model.37_atomistic,948.42
model.18_atomistic,947.7
model.87_atomistic,962.8
model.12_atomistic,877.44
model.23_atomistic,951.83
model.64_atomistic,838.26
model.21_atomistic,893.58
model.77_atomistic,799.09
model.67_atomistic,922.41
model.74_atomistic,890.61
model.78_atomistic,946.16
model.10_atomistic,782.48
model.62_atomistic,994.32
model.95_atomistic,797.58
model.83_atomistic,919.78
model.42_atomistic,890.19
model.7_atomistic,744.84
model.93_atomistic,846.78
model.22_atomistic,1016.64
model.11_atomistic,982.88
model.88_atomistic,1156.83
model.96_atomistic,962.8
model.48_atomistic,1059.98
model.55_atomistic,910.65
model.94_atomistic,647.28
model.80_atomistic,773.75
model.98_atomistic,1108.84
model.4_atomistic,712.63
model.97_atomistic,1015.9
model.17_atomistic,805.81
model.58_atomistic,1272.51
model.75_atomistic,1054.32
model.72_atomistic,969.77
model.36_atomistic,893.96
model.68_atomistic,1045.03
model.28_atomistic,878.34
model.71_atomistic,866.97
model.14_atomistic,592.51
model.84_atomistic,812.86
model.79_atomistic,838.48
model.1_atomistic,755.34
model.9_atomistic,1060.39
model.47_atomistic,850.44
model.44_atomistic,914.81
model.73_atomistic,766.05
model.56_atomistic,947.46
model.26_atomistic,1239.02
model.81_atomistic,901.75
model.16_atomistic,972.77
model.92_atomistic,1026.05
model.60_atomistic,936.32
model.46_atomistic,826.27
model.53_atomistic,1053.7
model.59_atomistic,914.45
model.34_atomistic,969.29
model.0_atomistic,834.92
model.41_atomistic,907.97
model.99_atomistic,828.48
model.2_atomistic,868.85
model.91_atomistic,905.78
model.89_atomistic,967.9
model.49_atomistic,786.55
model.70_atomistic,915.46
model.86_atomistic,948.08
model.54_atomistic,897.7
model.50_atomistic,970.44
model.35_atomistic,806.23
model.33_atomistic,822.66
model.20_atomistic,914.22
model.6_atomistic,945.69
model.24_atomistic,772.16
model.27_atomistic,953.01
model.45_atomistic,860.52
model.31_atomistic,881.21
model.51_atomistic,882.44
model.38_atomistic,791.5
model.63_atomistic,1379.08
model.29_atomistic,1142.38
model.40_atomistic,1074.67
model.66_atomistic,873.94
model.65_atomistic,979.9
model.39_atomistic,774.86
model.13_atomistic,856.01
model.3_atomistic,842.71
model.61_atomistic,961.33
model.85_atomistic,972.11
model.52_atomistic,998.72
model.5_atomistic,776.44
model.43_atomistic,966.87
model.15_atomistic,872.59
model.82_atomistic,800.74
model.90_atomistic,888.31
model.32_atomistic,916.79
model.30_atomistic,904.83
model.19_atomistic,778.03
model.57_atomistic,772.19
